Epoch 1 — Train Loss: 426.3531, Val Loss: 0.9243, LR: 0.000100
Epoch 2 — Train Loss: 0.7127, Val Loss: 0.3606, LR: 0.000100
Epoch 3 — Train Loss: 0.2487, Val Loss: 0.1068, LR: 0.000100
Epoch 4 — Train Loss: 0.0927, Val Loss: 0.0661, LR: 0.000100
Epoch 5 — Train Loss: 0.0640, Val Loss: 0.0555, LR: 0.000100
Epoch 6 — Train Loss: 0.0616, Val Loss: 0.0587, LR: 0.000100
Epoch 7 — Train Loss: 0.0603, Val Loss: 0.0557, LR: 0.000100
Epoch 8 — Train Loss: 0.0594, Val Loss: 0.0634, LR: 0.000100
Epoch 9 — Train Loss: 0.0581, Val Loss: 0.0555, LR: 0.000100
Epoch 10 — Train Loss: 0.0567, Val Loss: 0.0625, LR: 0.000100
Epoch 11 — Train Loss: 0.0557, Val Loss: 0.0548, LR: 0.000100
Epoch 12 — Train Loss: 0.0553, Val Loss: 0.0562, LR: 0.000100
Epoch 13 — Train Loss: 0.0546, Val Loss: 0.0612, LR: 0.000100
Epoch 14 — Train Loss: 0.0538, Val Loss: 0.0504, LR: 0.000100
Epoch 15 — Train Loss: 0.0513, Val Loss: 0.0482, LR: 0.000100
Epoch 16 — Train Loss: 0.0494, Val Loss: 0.0475, LR: 0.000100
Epoch 17 — Train Loss: 0.0487, Val Loss: 0.0449, LR: 0.000100
Epoch 18 — Train Loss: 0.0473, Val Loss: 0.0465, LR: 0.000100
Epoch 19 — Train Loss: 0.0464, Val Loss: 0.0459, LR: 0.000100
Epoch 20 — Train Loss: 0.0463, Val Loss: 0.0468, LR: 0.000100
