Epoch 1 — Train Loss: 0.2638, Val Loss: 434.1151, LR: 0.000100
Epoch 2 — Train Loss: 0.1291, Val Loss: 433.1388, LR: 0.000100
Epoch 3 — Train Loss: 0.1291, Val Loss: 433.1263, LR: 0.000100
Epoch 4 — Train Loss: 0.1291, Val Loss: 433.1289, LR: 0.000100
Epoch 5 — Train Loss: 0.1291, Val Loss: 433.1262, LR: 0.000100
Epoch 6 — Train Loss: 0.1291, Val Loss: 433.1346, LR: 0.000100
Epoch 7 — Train Loss: 0.1291, Val Loss: 433.1494, LR: 0.000100
Epoch 8 — Train Loss: 0.1291, Val Loss: 433.1269, LR: 0.000050
Epoch 9 — Train Loss: 0.1291, Val Loss: 433.1311, LR: 0.000050
Epoch 10 — Train Loss: 0.1291, Val Loss: 433.1278, LR: 0.000050
Epoch 11 — Train Loss: 0.1291, Val Loss: 433.1306, LR: 0.000050
Epoch 12 — Train Loss: 0.1291, Val Loss: 433.1261, LR: 0.000050
Epoch 13 — Train Loss: 0.1291, Val Loss: 433.1318, LR: 0.000050
Epoch 14 — Train Loss: 0.1291, Val Loss: 433.1461, LR: 0.000025
Epoch 15 — Train Loss: 0.1291, Val Loss: 433.1323, LR: 0.000025
Epoch 16 — Train Loss: 0.1291, Val Loss: 433.1259, LR: 0.000025
Epoch 17 — Train Loss: 0.1291, Val Loss: 433.1350, LR: 0.000025
Epoch 18 — Train Loss: 0.1291, Val Loss: 433.1355, LR: 0.000025
Epoch 19 — Train Loss: 0.1291, Val Loss: 433.1279, LR: 0.000025
Epoch 20 — Train Loss: 0.1291, Val Loss: 433.1379, LR: 0.000013
Epoch 21 — Train Loss: 0.1291, Val Loss: 433.1344, LR: 0.000013
Epoch 22 — Train Loss: 0.1291, Val Loss: 433.1344, LR: 0.000013
Epoch 23 — Train Loss: 0.1291, Val Loss: 433.1322, LR: 0.000013
Epoch 24 — Train Loss: 0.1291, Val Loss: 433.1341, LR: 0.000013
Epoch 25 — Train Loss: 0.1291, Val Loss: 433.1347, LR: 0.000013
Epoch 26 — Train Loss: 0.1291, Val Loss: 433.1398, LR: 0.000006
Epoch 27 — Train Loss: 0.1291, Val Loss: 433.1341, LR: 0.000006
Epoch 28 — Train Loss: 0.1291, Val Loss: 433.1329, LR: 0.000006
Epoch 29 — Train Loss: 0.1291, Val Loss: 433.1327, LR: 0.000006
Epoch 30 — Train Loss: 0.1291, Val Loss: 433.1306, LR: 0.000006
Epoch 31 — Train Loss: 0.1291, Val Loss: 433.1321, LR: 0.000006
Epoch 32 — Train Loss: 0.1291, Val Loss: 433.1322, LR: 0.000003
Epoch 33 — Train Loss: 0.1291, Val Loss: 433.1327, LR: 0.000003
Epoch 34 — Train Loss: 0.1291, Val Loss: 433.1332, LR: 0.000003
Epoch 35 — Train Loss: 0.1291, Val Loss: 433.1330, LR: 0.000003
Epoch 36 — Train Loss: 0.1291, Val Loss: 433.1329, LR: 0.000003
Epoch 37 — Train Loss: 0.1291, Val Loss: 433.1332, LR: 0.000003
Epoch 38 — Train Loss: 0.1291, Val Loss: 433.1331, LR: 0.000002
Epoch 39 — Train Loss: 0.1291, Val Loss: 433.1331, LR: 0.000002
Epoch 40 — Train Loss: 0.1291, Val Loss: 433.1331, LR: 0.000002
Epoch 41 — Train Loss: 0.1291, Val Loss: 433.1332, LR: 0.000002
Epoch 42 — Train Loss: 0.1291, Val Loss: 433.1332, LR: 0.000002
Epoch 43 — Train Loss: 0.1291, Val Loss: 433.1330, LR: 0.000002
Epoch 44 — Train Loss: 0.1291, Val Loss: 433.1330, LR: 0.000001
Epoch 45 — Train Loss: 0.1291, Val Loss: 433.1330, LR: 0.000001
Epoch 46 — Train Loss: 0.1291, Val Loss: 433.1329, LR: 0.000001
Epoch 47 — Train Loss: 0.1291, Val Loss: 433.1330, LR: 0.000001
Epoch 48 — Train Loss: 0.1291, Val Loss: 433.1330, LR: 0.000001
Epoch 49 — Train Loss: 0.1291, Val Loss: 433.1330, LR: 0.000001
Epoch 50 — Train Loss: 0.1291, Val Loss: 433.1331, LR: 0.000000
Epoch 51 — Train Loss: 0.1291, Val Loss: 433.1331, LR: 0.000000
Epoch 52 — Train Loss: 0.1291, Val Loss: 433.1331, LR: 0.000000
Epoch 53 — Train Loss: 0.1291, Val Loss: 433.1331, LR: 0.000000
Epoch 54 — Train Loss: 0.1291, Val Loss: 433.1331, LR: 0.000000
Epoch 55 — Train Loss: 0.1291, Val Loss: 433.1330, LR: 0.000000
Epoch 56 — Train Loss: 0.1291, Val Loss: 433.1330, LR: 0.000000
Epoch 57 — Train Loss: 0.1291, Val Loss: 433.1330, LR: 0.000000
Epoch 58 — Train Loss: 0.1291, Val Loss: 433.1329, LR: 0.000000
Epoch 59 — Train Loss: 0.1291, Val Loss: 433.1330, LR: 0.000000
Epoch 60 — Train Loss: 0.1291, Val Loss: 433.1329, LR: 0.000000
Epoch 61 — Train Loss: 0.1291, Val Loss: 433.1329, LR: 0.000000
Epoch 62 — Train Loss: 0.1291, Val Loss: 433.1329, LR: 0.000000
Epoch 63 — Train Loss: 0.1291, Val Loss: 433.1328, LR: 0.000000
Epoch 64 — Train Loss: 0.1291, Val Loss: 433.1329, LR: 0.000000
Epoch 65 — Train Loss: 0.1291, Val Loss: 433.1329, LR: 0.000000
Epoch 66 — Train Loss: 0.1291, Val Loss: 433.1329, LR: 0.000000
Epoch 67 — Train Loss: 0.1291, Val Loss: 433.1328, LR: 0.000000
Epoch 68 — Train Loss: 0.1291, Val Loss: 433.1328, LR: 0.000000
Epoch 69 — Train Loss: 0.1291, Val Loss: 433.1328, LR: 0.000000
Epoch 70 — Train Loss: 0.1291, Val Loss: 433.1328, LR: 0.000000
Epoch 71 — Train Loss: 0.1291, Val Loss: 433.1328, LR: 0.000000
Epoch 72 — Train Loss: 0.1291, Val Loss: 433.1328, LR: 0.000000
Epoch 73 — Train Loss: 0.1291, Val Loss: 433.1328, LR: 0.000000
Epoch 74 — Train Loss: 0.1291, Val Loss: 433.1328, LR: 0.000000
Epoch 75 — Train Loss: 0.1291, Val Loss: 433.1328, LR: 0.000000
Epoch 76 — Train Loss: 0.1291, Val Loss: 433.1328, LR: 0.000000
Epoch 77 — Train Loss: 0.1291, Val Loss: 433.1328, LR: 0.000000
Epoch 78 — Train Loss: 0.1291, Val Loss: 433.1328, LR: 0.000000
Epoch 79 — Train Loss: 0.1291, Val Loss: 433.1328, LR: 0.000000
Epoch 80 — Train Loss: 0.1291, Val Loss: 433.1328, LR: 0.000000
Epoch 81 — Train Loss: 0.1291, Val Loss: 433.1328, LR: 0.000000
Epoch 82 — Train Loss: 0.1291, Val Loss: 433.1328, LR: 0.000000
Epoch 83 — Train Loss: 0.1291, Val Loss: 433.1328, LR: 0.000000
Epoch 84 — Train Loss: 0.1291, Val Loss: 433.1328, LR: 0.000000
Epoch 85 — Train Loss: 0.1291, Val Loss: 433.1328, LR: 0.000000
Epoch 86 — Train Loss: 0.1291, Val Loss: 433.1328, LR: 0.000000
Epoch 87 — Train Loss: 0.1291, Val Loss: 433.1328, LR: 0.000000
Epoch 88 — Train Loss: 0.1291, Val Loss: 433.1328, LR: 0.000000
Epoch 89 — Train Loss: 0.1291, Val Loss: 433.1328, LR: 0.000000
Epoch 90 — Train Loss: 0.1291, Val Loss: 433.1328, LR: 0.000000
Epoch 91 — Train Loss: 0.1291, Val Loss: 433.1328, LR: 0.000000
Epoch 92 — Train Loss: 0.1291, Val Loss: 433.1328, LR: 0.000000
Epoch 93 — Train Loss: 0.1291, Val Loss: 433.1328, LR: 0.000000
Epoch 94 — Train Loss: 0.1291, Val Loss: 433.1328, LR: 0.000000
Epoch 95 — Train Loss: 0.1291, Val Loss: 433.1328, LR: 0.000000
Epoch 96 — Train Loss: 0.1291, Val Loss: 433.1328, LR: 0.000000
Epoch 97 — Train Loss: 0.1291, Val Loss: 433.1328, LR: 0.000000
Epoch 98 — Train Loss: 0.1291, Val Loss: 433.1328, LR: 0.000000
Epoch 99 — Train Loss: 0.1291, Val Loss: 433.1328, LR: 0.000000
